Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1789 - Washington,Connecticut,,7,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Delaware,,3,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Georgia,,5,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Maryland,,6,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Massachusetts,,10,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,New Hampshire,,5,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,New Jersey,,6,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Pennsylvania,,10,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,South Carolina,,7,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Virginia,,10,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Massachusetts,,16,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Rhode Island,,4,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Connecticut,,9,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,New Jersey,,7,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Delaware,,3,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Maryland,,8,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Vermont,,3,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,New Hampshire,,6,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,New York,,12,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Pennsylvania,,15,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Virginia,,21,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Kentucky,,4,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,North Carolina,,12,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,South Carolina,,8,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Georgia,,4,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Connecticut,,9,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Delaware,,3,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Georgia,,0,,,4,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Kentucky,,0,,,4,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Maryland,,7,,,4,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Massachusetts,,16,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,New Hampshire,,6,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,New Jersey,,7,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,New York,,12,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,North Carolina,,1,,,11,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Pennsylvania,,1,,,14,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Rhode Island,,4,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,South Carolina,,0,,,8,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Tennessee,,0,,,3,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Vermont,,4,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Virginia,,1,,,20,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Connecticut,,0,,,9,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,Delaware,,0,,,3,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,Georgia,,4,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Kentucky,,4,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Maryland,,5,,,5,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Massachusetts,,0,,,16,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,New Hampshire,,0,,,6,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,New Jersey,,0,,,7,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,New York,,12,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,North Carolina,,8,,,4,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Pennsylvania,,8,,,7,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Rhode Island,,0,,,4,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,South Carolina,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Tennessee,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Vermont,,0,,,4,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,Virginia,,21,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Connecticut,,0,,,9,,,,,,,,,Federalist,Electoral votes only
1804 - Jefferson,Delaware,,0,,,3,,,,,,,,,Federalist,Electoral votes only
1804 - Jefferson,Georgia,,6,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Kentucky,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Maryland,,9,,,2,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Massachusetts,,19,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,New Hampshire,,7,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,New Jersey,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,New York,,19,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,North Carolina,,14,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Ohio,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Pennsylvania,,20,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Rhode Island,,4,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,South Carolina,,10,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Tennessee,,5,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
