_l;Zone d'Emploi;name;name2;;Revenus fiscaux des ménages 2009 : nombre de ménages fiscaux;Revenus fiscaux des ménages 2009 : nombre de personnes dans les ménages fiscaux;Revenus fiscaux des ménages 2009 : part des ménages fiscaux imposés;Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 1er Quartile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 2ème Quartile ou Médiane (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 3ème Quartile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 1er Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 2ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 3ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 4ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 5ème Décile ou Médiane (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 6ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 7ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 8ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : 9ème Décile (en Euros);Revenus fiscaux des ménages 2009 par Unité de Consommation (UC) : Rapport inter-déciles (sans unité);Revenus fiscaux des ménages 2009 : part des revenus salariaux (%);Revenus fiscaux des ménages 2009 : part des pensions; retraites; rentes (%);Revenus fiscaux des ménages 2009 : part des revenus des professions non-salariées (%);Revenus fiscaux des ménages 2009 : part des autres revenus (%);Chomage_2003;Chomage_2004;Chomage_2005;Chomage_2006;Chomage_2007;Chomage_2008;Chomage_2009;Chomage_2010;Chomage_2003_2010;Agriculture;Industrie;Construction;Tertiaire_marchand;Tertiaire_non-marchand;Total_salariés;Non-salariés;Emploi_Total;Agriculture%;Industrie%;Construction%;Tertiaire_marchand;Tertiaire_non-marchand;Total_salariés;Non-salariés;Emploi_Total;POP_TOT_99;POP_TOT_09;EVOL_POP_99_09;POP_M20A_P60A_09;POP_20A59A_09;TAUX_DEP_ECO_09;POP_M20A_09;POP_P60A_09;INDIC_JEUN_09;REV_ PAR_UC_MED_09;REV_ PAR_UC_D1_09;POP_ACT_15A64A_09;POP_15A64A_09;TX_ACT_09;POP_ACT_EMP_15A64A_09;POP_15A64A_09;TX_EMP_15A64A_09;POP_ACT_EMP_55A64A_09;POP_55A64A_09;TX_EMP_55A64A_09;POP_F_EMP_15A64A_09;POP_F_15A64A_09;TX_EMP_F_15A64A_09;EST_EMP_98;EST_EMP_09;EVOL_EST_EMP_98_09;TX_CHOM_T1_03;TX_CHOM_T4_11;EVOL_ TX_CHOM_T1_03_T4_11;DE_A_11;DE_ABC_11;PART_F_DE_ABC_11;PART_J_DE_ABC_11;PART_LD_DE_ABC_11;POP_15A64A_09_p;ZONE_OUT
[ 43.891912069874174 , -0.331620793178312];50;Mont-de-Marsan;Mont-de-Marsan;157990;67481;155765.5;54.21;12115;17465;23617;7480;10828;13269;15450;17465;19642;22111;25556;31770;4.25;56.66;30.14;7.15;6.06;6.4;;6.6;6.7;6.6;5.9;5.4;6.7;7;7.2;0.6;2628;8230;3286;18739;23992;56875;8632;65507;4.62;14.47;5.78;32.95;42.18;56875.00;8632.00;65507.00;146,016;158,008;0.8;78288;79720;98.2;34,632;43,656;79.3;17465;7480;70679;98,634;71.7;63,945;98,634;64.8;7,843;22,200;35.3;29,960;49,164;60.9;61,892;65,507;0.5;6.3;7.4;1.1;5,726;9,258;56.1;16.0;34.2;1.6020;64120.41
[ 48.490315281045 , 0.2701753761845443];51;Alençon;Alençon;122220;51942;118910.5;53.13;11576;16841;22976;6451;10177;12758;14860;16841;18951;21439;24850;30997;4.8;57.99;29.9;5.88;6.23;7.7;;7.9;7.8;7.8;7;7;8.9;8.4;8.4;0.5;623;5512;3313;15321;17595;42364;5283;47647;1.47;13.01;REV_ PAR_UC_MED_09;36.17;41.53;42364.00;5283.00;47647.00;119,220;122,240;0.3;61550;60690;101.4;29,952;31,597;94.8;16841;6451;54027;76,182;70.9;48,405;76,182;63.5;5,848;16,417;35.6;23,055;38,371;60.1;47,204;47,647;0.1;7.5;8.7;1.2;4,541;6,917;49.9;22.2;34.0;1.6046;49119.68
[ 47.3541183653115 , 3.155320867081793];52;Cosne - Clamecy;Cosne - Clamecy;75959;35246;74073.5;53.24;11789;17125;23430;6849;10419;12941;15069;17125;19324;21905;25431;31889;4.66;48.77;36.77;7.69;6.77;8;;8.2;8.2;8.2;7.4;6.8;8.5;9.3;9.3;1.1;1303;3299;1471;7081;7570;20723;3796;24519;6.29;15.92;7.10;34.17;36.53;20723.00;3796.00;24519.00;76,201;75,982;0.0;40292;35690;112.9;14,752;25,541;57.8;17125;6849;30926;45,122;68.5;27,414;45,122;60.8;3,728;11,956;31.2;12,659;22,372;56.6;23,776;24,519;0.3;7.9;9.2;1.3;2,826;4,398;52.5;17.6;44.5;1.6839;28128.63
[ 46.390693198540596 , 4.733417877739098];53;Mâcon;Mâcon;141412;60134;140693.5;59.65;12935;18445;25162;8123;11562;14099;16320;18445;20694;23399;27275;34260;4.22;61.26;26.15;6.27;6.31;5.6;;5.8;6;6;5.5;5.2;6.9;7.1;6.8;1;1116;9029;4526;21399;18273;54344;6747;61091;2.05;16.61;8.33;39.38;33.62;54344.00;6747.00;61091.00;129,710;141,444;0.9;68901;72543;95.0;34,665;34,236;101.3;18445;8123;67403;89,535;75.3;61,455;89,535;68.6;7,288;18,290;39.8;29,046;44,660;65.0;55,961;61,091;0.8;5.6;6.9;1.3;5,001;8,473;51.6;18.8;36.9;1.5798;61701.11
[ 48.32002487585698 , 0.7686183673535532];54;Nogent-le-Rotrou;Nogent-le-Rotrou;48990;21023;47793.5;54.08;12080;17029;22820;7282;10851;13167;15213;17029;19050;21360;24530;30600;4.2;55.17;31.86;6.68;6.3;6.8;;7.5;7.7;7.1;6;6.5;8.7;8.1;8.2;0.7;349;5190;908;4756;3502;14705;2396;17101;2.37;35.29;6.17;32.34;23.82;14705.00;2396.00;17101.00;48,180;49,001;0.2;25306;23695;106.8;11,283;14,023;80.5;17029;7282;21686;29,599;73.3;19,615;29,599;66.3;2,393;6,724;35.6;9,073;14,543;62.4;18,268;17,101;-0.6;6.3;8.4;2.1;1,643;2,693;53.0;20.3;35.8;1.6555;20025.06
[ 49.964759378325645 , 1.5903862372298458];55;Vallée de la Bresle - Vimeu;Vallée de la Bresle - Vimeu;100634;42268;99857;53.78;11171;16259;21849;6662;9864;12304;14341;16259;18234;20428;23628;29537;4.43;57.76;30.39;5.79;6.06;8.1;;8.5;8.5;8.3;7.5;7.7;11.3;10.3;10.1;1.6;436;13790;1615;9335;7557;32733;3405;36138;1.33;42.13;4.93;28.52;23.09;32733.00;3405.00;36138.00;100,017;100,647;0.1;49326;51321;96.1;23,117;26,209;88.2;16259;6662;44549;63,779;69.8;38,988;63,779;61.1;3,981;14,197;28.0;17,564;31,717;55.4;36,771;36,138;-0.2;8;10.5;2.5;4,826;7,303;51.7;24.1;38.5;1.5781;39260.10
[ 49.18566203577172 , 2.6533925489768033];56;Roissy - Sud Picardie;Roissy - Sud Picardie;1659698;603061;1687730;65.66;10761;18238;26659;5690;9171;12322;15317;18238;21264;24651;29066;36606;6.43;71.94;19.83;3.79;4.45;9.6;;10.1;10.1;9.8;8.9;8.1;9.7;10.2;10.2;0.1;1458;52753;32877;298788;141882;527758;33610;561368;0.28;10.00;6.23;56.61;26.88;527758.00;33610.00;561368.00;1,566,168;1,659,681;0.6;751583;908098;82.8;480,165;271,418;176.9;18238;5690;804774;1,103,772;72.9;701,999;1,103,772;63.6;77,989;182,987;42.6;332,924;559,541;59.5;490,999;561,368;1.3;9.2;10.4;1.2;84,250;116,585;48.4;16.3;37.7;1.5036;705565.19
[ 45.073247837789566 , 1.6266305953582199];57;Brive-la-Gaillarde;Brive-la-Gaillarde;189528;83453;182799;54.43;12039;17471;24053;7723;10805;13193;15379;17471;19717;22353;26102;32887;4.26;54.62;32.08;6.69;6.6;6.3;;6.6;6.6;6.6;6;5.7;7.5;7.3;7.6;1;579;11977;4540;25780;18215;61090;10703;71793;0.95;19.61;7.43;42.20;29.82;61090.00;10703.00;71793.00;176,810;189,568;0.7;96491;93077;103.7;38,857;57,634;67.4;17471;7723;83336;115,638;72.1;76,109;115,638;65.8;9,683;26,602;36.4;35,819;57,545;62.2;67,144;71,793;0.6;6.2;7.7;1.5;6,925;11,213;55.2;16.7;38.6;1.6393;76649.00
[ 43.98840697569432 , 4.947283802386695];59;Avignon;Avignon;487639;205554;492740.5;54.39;10373;16803;24330;5143;8865;11772;14328;16803;19464;22483;26611;34061;6.62;59.21;26;6.53;8.26;9.6;;9.8;10.1;10.2;9.6;8.8;10.5;11.1;11.5;1.7;5252;19842;11991;78422;54013;169520;24843;194363;3.10;11.70;7.07;46.26;31.86;169520.00;24843.00;194363.00;443,692;487,632;0.9;237981;249651;95.3;120,884;117,097;103.2;16803;5143;219209;311,325;70.4;188,332;311,325;60.5;23,928;63,605;37.6;88,225;159,425;55.3;164,169;194,363;1.7;9.6;11.9;2.3;29,264;41,533;50.8;17.0;36.8;1.5663;189190.40
[ 45.46544638811158 , 4.149627007441461];60;Saint-Étienne;Saint-Étienne;628131;267060;622402;53.56;11575;17182;23652;6636;10168;12813;15044;17182;19418;22049;25608;32084;4.83;60.92;27.79;5.42;5.87;8.5;;8.8;8.9;8.9;7.9;7.4;9.6;9.4;9.2;0.4;832;45482;15914;87672;72839;222739;24946;247685;0.37;20.42;7.14;39.36;32.70;222739.00;24946.00;247685.00;609,581;628,102;0.3;310049;318053;97.5;154,743;155,306;99.6;17182;6636;278473;395,327;70.4;248,504;395,327;62.9;28,260;79,982;35.3;115,778;198,627;58.3;243,850;247,685;0.1;8.3;9.3;1;26,893;42,097;50.8;17.7;39.1;1.5888;250246.15
