day,pts,rank,team
0,0,1,Caen
1,3,1,Caen
2,6,1,Caen
3,6,5,Caen
4,6,9,Caen
5,9,5,Caen
6,12,4,Caen
7,12,4,Caen
8,15,3,Caen
9,18,2,Caen
10,21,2,Caen
11,21,3,Caen
12,21,5,Caen
13,24,3,Caen
14,25,2,Caen
15,28,2,Caen
16,29,2,Caen
17,29,3,Caen
18,30,4,Caen
19,30,4,Caen
20,30,4,Caen
21,30,7,Caen
22,33,6,Caen
23,36,4,Caen
24,36,5,Caen
25,36,6,Caen
26,36,9,Caen
27,39,6,Caen
28,42,3,Caen
29,43,6,Caen
30,43,7,Caen
31,46,6,Caen
32,46,7,Caen
33,46,8,Caen
34,46,9,Caen
35,47,9,Caen
36,48,9,Caen
37,51,8,Caen
38,54,7,Caen
0,0,2,Nantes
1,3,2,Nantes
2,4,4,Nantes
3,7,2,Nantes
4,7,5,Nantes
5,7,9,Nantes
6,7,12,Nantes
7,10,11,Nantes
8,10,11,Nantes
9,13,10,Nantes
10,16,6,Nantes
11,19,4,Nantes
12,19,7,Nantes
13,19,10,Nantes
14,19,10,Nantes
15,20,10,Nantes
16,21,11,Nantes
17,22,11,Nantes
18,23,11,Nantes
19,24,11,Nantes
20,27,9,Nantes
21,28,11,Nantes
22,29,11,Nantes
23,32,9,Nantes
24,35,7,Nantes
25,36,7,Nantes
26,39,5,Nantes
27,40,5,Nantes
28,41,5,Nantes
29,41,8,Nantes
30,44,6,Nantes
31,44,8,Nantes
32,44,10,Nantes
33,44,10,Nantes
34,44,10,Nantes
35,45,10,Nantes
36,48,10,Nantes
37,48,12,Nantes
38,48,13,Nantes
0,0,3,Reims
1,3,3,Reims
2,6,2,Reims
3,6,6,Reims
4,9,2,Reims
5,10,3,Reims
6,11,5,Reims
7,12,5,Reims
8,15,4,Reims
9,15,6,Reims
10,15,9,Reims
11,15,11,Reims
12,15,12,Reims
13,15,13,Reims
14,15,14,Reims
15,16,15,Reims
16,19,12,Reims
17,20,13,Reims
18,21,15,Reims
19,21,17,Reims
20,21,17,Reims
21,22,16,Reims
22,23,17,Reims
23,23,18,Reims
24,26,16,Reims
25,29,16,Reims
26,29,16,Reims
27,29,17,Reims
28,32,16,Reims
29,32,16,Reims
30,33,17,Reims
31,33,17,Reims
32,33,17,Reims
33,36,17,Reims
34,36,17,Reims
35,36,18,Reims
36,36,18,Reims
37,36,19,Reims
38,39,18,Reims
0,0,4,Angers
1,3,4,Angers
2,4,5,Angers
3,7,3,Angers
4,8,4,Angers
5,8,6,Angers
6,11,6,Angers
7,12,6,Angers
8,15,5,Angers
9,18,3,Angers
10,21,3,Angers
11,22,2,Angers
12,22,2,Angers
13,22,4,Angers
14,23,5,Angers
15,26,3,Angers
16,27,3,Angers
17,30,2,Angers
18,31,2,Angers
19,31,3,Angers
20,34,2,Angers
21,34,3,Angers
22,34,4,Angers
23,37,3,Angers
24,37,4,Angers
25,37,5,Angers
26,37,8,Angers
27,37,9,Angers
28,38,9,Angers
29,39,9,Angers
30,39,10,Angers
31,42,10,Angers
32,45,9,Angers
33,46,9,Angers
34,49,8,Angers
35,50,8,Angers
36,50,8,Angers
37,50,9,Angers
38,50,9,Angers
0,0,5,Bastia
1,3,5,Bastia
2,4,6,Bastia
3,7,4,Bastia
4,7,6,Bastia
5,7,10,Bastia
6,7,13,Bastia
7,7,14,Bastia
8,10,12,Bastia
9,10,13,Bastia
10,10,15,Bastia
11,10,16,Bastia
12,13,15,Bastia
13,14,15,Bastia
14,14,17,Bastia
15,15,17,Bastia
16,18,15,Bastia
17,18,18,Bastia
18,19,17,Bastia
19,22,15,Bastia
20,22,15,Bastia
21,25,14,Bastia
22,25,14,Bastia
23,28,13,Bastia
24,28,15,Bastia
25,31,12,Bastia
26,34,12,Bastia
27,35,12,Bastia
28,38,10,Bastia
29,39,10,Bastia
30,39,11,Bastia
31,40,11,Bastia
32,43,11,Bastia
33,43,11,Bastia
34,43,11,Bastia
35,43,12,Bastia
36,44,13,Bastia
37,47,13,Bastia
38,50,10,Bastia
0,0,6,Guingamp
1,0,13,Guingamp
2,0,18,Guingamp
3,0,19,Guingamp
4,3,15,Guingamp
5,6,11,Guingamp
6,9,7,Guingamp
7,9,12,Guingamp
8,10,13,Guingamp
9,13,11,Guingamp
10,14,11,Guingamp
11,15,12,Guingamp
12,16,11,Guingamp
13,16,12,Guingamp
14,19,11,Guingamp
15,19,11,Guingamp
16,19,13,Guingamp
17,19,16,Guingamp
18,19,18,Guingamp
19,19,18,Guingamp
20,20,18,Guingamp
21,21,18,Guingamp
22,24,16,Guingamp
23,27,14,Guingamp
24,30,12,Guingamp
25,31,13,Guingamp
26,31,13,Guingamp
27,31,16,Guingamp
28,32,17,Guingamp
29,32,17,Guingamp
30,35,16,Guingamp
31,38,15,Guingamp
32,39,13,Guingamp
33,39,15,Guingamp
34,42,14,Guingamp
35,43,13,Guingamp
36,43,15,Guingamp
37,44,15,Guingamp
38,44,16,Guingamp
0,0,7,Lorient
1,1,9,Lorient
2,2,11,Lorient
3,2,14,Lorient
4,2,18,Lorient
5,5,15,Lorient
6,8,9,Lorient
7,11,8,Lorient
8,11,10,Lorient
9,14,8,Lorient
10,15,10,Lorient
11,16,10,Lorient
12,17,9,Lorient
13,20,7,Lorient
14,20,9,Lorient
15,21,9,Lorient
16,22,8,Lorient
17,25,7,Lorient
18,25,8,Lorient
19,26,8,Lorient
20,27,10,Lorient
21,27,12,Lorient
22,27,12,Lorient
23,30,11,Lorient
24,30,13,Lorient
25,31,14,Lorient
26,31,14,Lorient
27,34,13,Lorient
28,37,11,Lorient
29,38,11,Lorient
30,39,12,Lorient
31,39,12,Lorient
32,39,14,Lorient
33,42,13,Lorient
34,43,12,Lorient
35,43,14,Lorient
36,43,16,Lorient
37,43,16,Lorient
38,46,15,Lorient
0,0,8,Marseille
1,0,14,Marseille
2,0,19,Marseille
3,3,13,Marseille
4,3,16,Marseille
5,6,12,Marseille
6,7,14,Marseille
7,8,13,Marseille
8,8,15,Marseille
9,8,16,Marseille
10,9,16,Marseille
11,12,14,Marseille
